UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P05386	RPLP1	1.1583139462456011	1.135474875993517	1.1248817896946326	1.159003918677894	1.114502180490702	1.1293557062635122	1.1550783356596384	1.1176671513646368	1.1376327106358186	1.090821802533705	1.138220279755208	1.0891214619027176
P05387	RPLP2	1.1839353934739625	1.194581038043678	1.203542204493305	1.2011146511432746	1.2109886175251698	1.255907835759291	1.205632780159252	1.2074690411414757	1.1964914321011	1.1923490980751297	1.160383090310981	1.1597650883915829
P04843	RPN1	1.2006340591143718	1.2034556470544422	1.2010044552768004	1.1995254783415583	1.1846018159971492	1.2019675191774757	1.194551736571538	1.1884002281715942	1.1942565057859702	1.2020370468748631	1.203695730199049	1.1995580394436112
P04844	RPN2	1.129793984857025	1.135685383588419	1.12897111334478	1.1403796951745837	1.1099233790162928	1.1399388388822485	1.168521326241141	1.1630454526621083	1.1706387438506485	1.1558666338890633	1.1659464518979878	1.1738330192609236
O95059	RPP14	0.7845237361154935	0.8344616588059871	0.8161584913516448	0.7928689986294979	0.7917619098611967	0.797806914661244	0.7892879791978198	0.7953680493722255	0.8661052999652165	0.7857755369772825	0.7614157233322842	0.8437530636612711
Q9BUL9	RPP25	0.9315804676733728	0.9420793274827239	0.9307045179648058	0.9494484630378621	0.9109687143637365	0.8974385246724271	0.7884096290676739	0.8104878136226816	0.8079299312464447	0.8404452857132672	0.8275015455726034	0.8237579883321217
Q8N5L8	RPP25L	0.953825776678812	0.9430941259015524	0.9637043803382358	0.9570389212795658	0.952034824306346	0.9591949852445432	0.9502039488553776	0.9460925015917688	0.9491939886601296	0.949297896520928	0.9366826432044306	0.9259943296338782
P78346	RPP30	1.0620563531726903	1.0521621928378528	1.0576268019800126	1.0553561792615302	1.0568799852273871	1.045794825548268	1.056640067661315	1.058289988381639	1.0534377554454586	1.0499957319434046	1.0588132178410046	1.0475967008015816
P78345	RPP38	0.9669103767380943	1.0063835311971816	1.0148015434434825	1.0051196906457447	0.9567557482088758	0.96430106791984	0.9874615286809696	0.9866692069063095	0.9889567274428694	0.97420962582631	0.9780860153739636	0.9676877006831308
O75818	RPP40	0.981852114577338	1.0089428439765684	0.9563106137047608	0.9658595171490624	0.956369974056172	0.9816163358930892	0.988873078244101	0.9973367126964728	0.999183910452696	0.9752644333217956	0.9663146832345456	0.9886409795801264
Q96P16	RPRD1A	0.9361323899545542	0.9423945357986931	0.963449733825158	0.9593335184811852	0.9590494840733096	0.9626383652058152	0.9624238120754108	0.9652341392061294	0.9665659263733744	0.9873961514739124	0.9901400742794132	0.9808421432266738
Q9NQG5	RPRD1B	1.0777228181705063	1.0750769477470945	1.079734378331035	1.076385994528482	1.0832973264770476	1.0863998611047527	1.0814134954557204	1.0782629284793783	1.0690787984904035	1.085457202119037	1.0914569840158592	1.09354199121701
Q5VT52	RPRD2	0.9820745552675436	0.9736281784458534	0.9803002310211256	0.9739558439577536	0.990860858147672	0.9792723224010088	1.015980518381892	1.02482168538077	1.024274075919512	1.033088209766268	1.0313681697238049	1.0249268066674542
P62280	RPS11	1.27373363458897	1.2763238037446776	1.2749884147608397	1.2570007315933984	1.27240480270957	1.2826551667923909	1.2672044904719657	1.2779791355008572	1.2697677731073664	1.26458375122588	1.2629117022532643	1.245107041638211
P25398	RPS12	1.253305201021472	1.249759248276148	1.2489847821858568	1.2408370935460926	1.2552740621415304	1.2701149600269044	1.2549031210065056	1.257609886410597	1.242846586811415	1.239010040700441	1.249188561034669	1.2243235211114345
P62277	RPS13	1.259841742924669	1.2624730691564117	1.2657861575854217	1.2557435761013225	1.2682042224072358	1.3021183894140247	1.2818590541494757	1.2843995668711254	1.2589592371449374	1.260109308194744	1.2544174291779175	1.247975748902831
P62263	RPS14	1.3246578858143467	1.327836014417784	1.3234213111331603	1.316457924422018	1.3296580298613585	1.326840204212421	1.3271732834408247	1.326400932618119	1.3238897399578755	1.316981109644516	1.310380567164296	1.2980861444931568
P62841	RPS15	1.1453095389158745	1.1445960124835837	1.1496994035201666	1.1369737694739543	1.15028096073767	1.137531341402358	1.1558384221469098	1.1505759853444697	1.140447180702014	1.1211251142634209	1.1298016002501907	1.1032072704861728
P62244	RPS15A	1.2778466488958915	1.287179514932142	1.2816785399652	1.2730333859447662	1.2843429201946146	1.2799412410810465	1.2689320200617349	1.2833664914952974	1.2773523242003153	1.2774400308684506	1.2710082844575743	1.248536723557416
P62249	RPS16	1.1168012068658848	1.1107411263707063	1.108914878614636	1.1119105331396797	1.113944838452812	1.110612021148389	1.103906246936177	1.1249878307175043	1.1004735763974585	1.109890410062837	1.1193573589648949	1.076794894933785
P62269	RPS18	1.2928656029131966	1.2866157936869924	1.2900371198896812	1.2720191945780932	1.2896694500350647	1.300733787869705	1.2843397228771245	1.2867567809254108	1.2784835911127732	1.2745293469770531	1.271458844720036	1.256489446147968
