UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P07195	LDHB	9910000	NA	NA	NA	NA	NA	43900000	45900000	44000000	43500000	47700000	41400000
P01130	LDLR	330744	261062	241416	220102	187490	295603	230058	202535	223382	87757.5	77816.4	86831.7
Q5SW96	LDLRAP1	269911	292178	209041	464901	125939	311556	254368	276019	311243	135220	213145	278567
Q8NC56	LEMD2	227486	208294	107203	179894	191018	196005	1000000	949241	945599	988219	986680	1150000
Q9Y2U8	LEMD3	NA	NA	320237	554417	636479	NA	515360	533500	566520	582277	577143	526175
Q96PV6	LENG8	134141	143745	165505	143849	138998	118675	162291	198146	225264	222868	229328	222097
Q8WVC0	LEO1	613161	680107	565700	668399	666786	548186	618745	569555	598608	560636	532838	555012
O15243 ; P48357	LEPR	NA	NA	NA	NA	NA	NA	278332	184340	254716	94753.1	106981	182792
Q32P28	LEPRE1	102037	148235	193671	111538	159042	136556	836213	867454	899746	726877	825418	768476
O15243	LEPROT	NA	14969.4	22787.1	NA	13486.6	10778.7	26029.6	32960.8	32768.1	41712.5	41822.6	67729.3
O95214	LEPROTL1	NA	9599.46	NA	21596	NA	NA	44366	39327.8	62768.8	21455.4	34393.7	29293.2
O95202	LETM1	1050000	933359	909363	955345	1060000	909796	2060000	2320000	2220000	2410000	2590000	2610000
Q2VYF4	LETM2	NA	NA	NA	NA	221978	241303	191166	126223	NA	76228.3	61454.5	NA
Q6P1Q0	LETMD1	366507	241238	355645	381831	235807	306032	281285	272115	282540	345024	307713	394698
P09382	LGALS1	27000000	29100000	30000000	21800000	28400000	32700000	18800000	20900000	17900000	20200000	18400000	17800000
Q08380	LGALS3BP	NA	NA	NA	NA	NA	NA	NA	34096.3	35012.4	118780	105794	99353.7
O00214	LGALS8	NA	NA	40556.9	NA	NA	NA	608064	573352	602670	565513	494263	444344
O00182	LGALS9	NA	NA	NA	NA	NA	NA	116636	100506	68497.9	142868	93091.2	NA
Q99538	LGMN	86208.4	225917	275497	211210	256630	241058	NA	NA	NA	NA	NA	NA
Q9H008	LHPP	303218	286790	291215	354407	273551	313105	134634	62986.6	55585.9	84459.1	166460	168524
O43766	LIAS	320196	268267	312806	261134	324369	292091	168818	192146	188050	201582	149517	149590
P18858 ; Q96JA1	LIG1	2730000	3110000	2880000	2690000	2950000	2760000	875437	926284	883490	878454	861387	867584
P49916 ; Q6UXM1	LIG3	437221	420713	418902	421157	403101	386810	646104	616638	623035	662537	724166	698508
P49917	LIG4	NA	NA	NA	33956	NA	NA	90714	104674	114365	133829	118599	117010
Q9UHB6	LIMA1	274706	450528	305533	309886	349899	246107	672120	707055	676286	705509	731379	719858
Q9UGP4	LIMD1	2400000	2580000	2250000	3490000	2530000	3120000	2280000	2620000	3000000	1520000	1500000	1860000
Q9BT23	LIMD2	877364	1090000	1500000	864282	1350000	1070000	NA	NA	NA	NA	NA	NA
P53671	LIMK2	340089	366768	360740	324687	355851	429883	NA	NA	141345	NA	172073	NA
